"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","setUp","Suite","Wed May 07 21:44:56 WAT 2025","broken","Wed May 07 21:44:56 WAT 2025","tests.LoginPageTest","Test","tests.LoginPageTest","setUp"
"","4","setuptest","Suite","Wed May 07 21:01:52 WAT 2025","broken","Wed May 07 21:01:52 WAT 2025","tests.LoginPageTest","Test","tests.LoginPageTest","setuptest"
"","379","loginTest","Suite","Wed May 07 22:08:33 WAT 2025","passed","Wed May 07 22:08:33 WAT 2025","tests.LoginPageTest","Test","tests.LoginPageTest","loginTest"
"","0","removetest","Suite","Tue May 06 21:53:32 WAT 2025","skipped","Tue May 06 21:53:32 WAT 2025","tests.RemoveItemTest","Test","tests.RemoveItemTest","removetest"
"","8","addItemToCartTest","Suite","Wed May 07 22:08:33 WAT 2025","broken","Wed May 07 22:08:33 WAT 2025","tests.AddItemToCartTest","Test","tests.AddItemToCartTest","addItemToCartTest"
"","1","loginTest","Suite","Wed May 07 21:53:43 WAT 2025","skipped","Wed May 07 21:53:43 WAT 2025","tests.LoginPageTest","Test","tests.LoginPageTest","loginTest"
"","0","removetest","Suite","Sun May 11 13:26:28 WAT 2025","skipped","Sun May 11 13:26:28 WAT 2025","tests.RemoveItemTest","Test","tests.RemoveItemTest","removetest"
"","1","loginTest","Suite","Wed May 07 21:55:29 WAT 2025","skipped","Wed May 07 21:55:29 WAT 2025","tests.LoginPageTest","Test","tests.LoginPageTest","loginTest"
"","7","checkoutTest","Suite","Wed May 07 20:51:56 WAT 2025","broken","Wed May 07 20:51:56 WAT 2025","tests.CheckoutPageTest","Test","tests.CheckoutPageTest","checkoutTest"
"","2","setUp","Suite","Wed May 07 21:55:29 WAT 2025","broken","Wed May 07 21:55:29 WAT 2025","tests.LoginPageTest","Test","tests.LoginPageTest","setUp"
"","0","setUp","Suite","Sun May 11 13:26:28 WAT 2025","broken","Sun May 11 13:26:28 WAT 2025","tests.LoginPageTest","Test","tests.LoginPageTest","setUp"
"","39","checkoutTest","Default suite","Wed May 07 20:55:14 WAT 2025","broken","Wed May 07 20:55:14 WAT 2025","tests.CheckoutPageTest","Default test","tests.CheckoutPageTest","checkoutTest"
"","2","setUp","Suite","Wed May 07 21:53:43 WAT 2025","broken","Wed May 07 21:53:43 WAT 2025","tests.LoginPageTest","Test","tests.LoginPageTest","setUp"
"","197","addItemToCartTest","Suite","Sun May 11 15:30:48 WAT 2025","passed","Sun May 11 15:30:48 WAT 2025","tests.AddItemToCartTest","Test","tests.AddItemToCartTest","addItemToCartTest"
"","0","addItemToCartTest","Suite","Wed May 07 21:53:43 WAT 2025","skipped","Wed May 07 21:53:43 WAT 2025","tests.AddItemToCartTest","Test","tests.AddItemToCartTest","addItemToCartTest"
"","2","setUp","Default suite","Sun Apr 13 18:58:05 WAT 2025","broken","Sun Apr 13 18:58:05 WAT 2025","tests.CheckoutPageTest","Default test","tests.CheckoutPageTest","setUp"
"","269","checkoutTest","Suite","Sun May 11 15:30:48 WAT 2025","broken","Sun May 11 15:30:48 WAT 2025","tests.CheckoutPageTest","Test","tests.CheckoutPageTest","checkoutTest"
"","313","loginTest","Suite","Sun May 11 15:30:47 WAT 2025","passed","Sun May 11 15:30:48 WAT 2025","tests.LoginPageTest","Test","tests.LoginPageTest","loginTest"
"","0","addItemToCartTest","Suite","Wed May 07 21:55:29 WAT 2025","skipped","Wed May 07 21:55:29 WAT 2025","tests.AddItemToCartTest","Test","tests.AddItemToCartTest","addItemToCartTest"
